,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VMAP,Day_Perc_Change,Trend
284,HINDUNILVR,EQ,2018-07-03,1643.45,1645.0,1661.1,1635.0,1645.0,1643.5,1650.6,1381265,2279913464.35,67096,726069,52.57,7,2018,1295.7931313751083,3.042380358397878e-05,Slight or No change
285,HINDUNILVR,EQ,2018-07-04,1643.5,1642.0,1682.4,1639.65,1677.0,1676.0,1661.45,1244751,2068093807.25,42099,690454,55.47,7,2018,1297.18643969837,0.01977487070276851,Positive
286,HINDUNILVR,EQ,2018-07-05,1676.0,1679.0,1692.35,1668.4,1690.95,1688.0,1681.35,1449303,2436791338.2,26791,1005928,69.41,7,2018,1298.846884687656,0.007159904534606243,Slight positive
287,HINDUNILVR,EQ,2018-07-06,1688.0,1689.0,1697.65,1672.4,1676.0,1678.3,1686.9,1458899,2461022761.4,67512,942236,64.59,7,2018,1300.4628260124027,-0.00574644549763037,Slight negative
288,HINDUNILVR,EQ,2018-07-09,1678.3,1682.0,1696.0,1674.0,1691.7,1691.9,1684.71,773248,1302701568.6,49790,481660,62.29,7,2018,1301.344369915663,0.008103438002740937,Slight positive
289,HINDUNILVR,EQ,2018-07-10,1691.9,1693.25,1698.85,1678.1,1688.0,1687.0,1687.42,1093651,1845449862.15,104973,756093,69.13,7,2018,1302.5688743752423,-0.002896152254861506,Slight or No change
290,HINDUNILVR,EQ,2018-07-11,1687.0,1685.0,1721.0,1679.05,1717.9,1718.15,1709.79,1158397,1980617961.65,72543,593544,51.24,7,2018,1303.9618292777632,0.018464730290456588,Positive
291,HINDUNILVR,EQ,2018-07-12,1718.15,1720.0,1749.4,1718.25,1746.0,1742.35,1739.12,1471465,2559055994.85,91932,881194,59.89,7,2018,1305.8204356233123,0.014084916916450752,Positive
292,HINDUNILVR,EQ,2018-07-13,1742.35,1742.0,1750.05,1724.0,1743.1,1742.65,1738.95,976456,1698007670.7,57600,600261,61.47,7,2018,1307.0459635889256,0.00017218124946194457,Slight or No change
293,HINDUNILVR,EQ,2018-07-16,1742.65,1749.8,1779.0,1743.85,1759.95,1751.25,1762.14,2218046,3908513368.65,73096,835277,37.66,7,2018,1309.858853211809,0.004935012767910862,Slight positive
294,HINDUNILVR,EQ,2018-07-17,1751.25,1767.0,1780.0,1678.2,1688.0,1681.7,1712.73,6188478,10599186992.05,165557,1262015,20.39,7,2018,1316.314427568524,-0.03971448965024982,Among top losers
295,HINDUNILVR,EQ,2018-07-18,1681.7,1693.0,1699.7,1627.0,1646.3,1643.75,1655.5,2372869,3928284339.1,103731,808727,34.08,7,2018,1318.4796961222203,-0.022566450615448708,Negative
296,HINDUNILVR,EQ,2018-07-19,1643.75,1651.9,1670.0,1643.65,1649.0,1647.45,1654.44,1457149,2410772434.6,88660,666550,45.74,7,2018,1319.8101896777896,0.0022509505703423027,Slight positive
297,HINDUNILVR,EQ,2018-07-20,1647.45,1655.9,1671.45,1628.8,1655.85,1655.85,1653.2,1734748,2867882459.75,88779,856928,49.4,7,2018,1321.4204391694955,0.005098789037603524,Slight positive
298,HINDUNILVR,EQ,2018-07-23,1655.85,1668.95,1702.95,1660.55,1691.25,1689.65,1686.82,1382893,2332696622.1,57853,531467,38.43,7,2018,1322.8216950934784,0.02041247697557158,Positive
299,HINDUNILVR,EQ,2018-07-24,1689.65,1700.0,1709.7,1662.45,1668.0,1667.9,1679.97,1084438,1821826243.55,46479,461339,42.54,7,2018,1323.8483832772108,-0.012872488385168523,Negative
300,HINDUNILVR,EQ,2018-07-25,1667.9,1671.0,1679.45,1638.25,1654.0,1652.95,1651.34,1526620,2520967344.45,115600,979624,64.17,7,2018,1325.2210400201216,-0.008963367108339892,Slight negative
301,HINDUNILVR,EQ,2018-07-26,1652.95,1655.0,1679.65,1645.05,1674.0,1669.95,1661.25,2088548,3469591204.05,59424,1108205,53.06,7,2018,1327.1769645601382,0.010284642608669348,Positive
302,HINDUNILVR,EQ,2018-07-27,1669.95,1670.0,1674.8,1641.45,1659.95,1659.0,1653.47,1030665,1704171379.1,37964,576121,55.9,7,2018,1328.1034522005064,-0.006557082547381632,Slight negative
303,HINDUNILVR,EQ,2018-07-30,1659.0,1666.25,1692.0,1651.0,1689.75,1688.7,1682.66,1237254,2081873167.65,43532,752164,60.79,7,2018,1329.3080519798962,0.01790235081374325,Positive
304,HINDUNILVR,EQ,2018-07-31,1688.7,1690.0,1737.45,1681.7,1733.0,1731.65,1713.9,1877744,3218269509.0,59092,1197175,63.76,7,2018,1331.337592758598,0.025433765618523063,Positive
305,HINDUNILVR,EQ,2018-08-01,1731.65,1732.95,1743.0,1718.6,1742.25,1734.3,1731.56,1191134,2062522717.6,45668,745872,62.62,8,2018,1332.6228906321285,0.0015303323419859627,Slight positive
306,HINDUNILVR,EQ,2018-08-02,1734.3,1742.25,1759.75,1739.0,1750.0,1748.5,1749.59,1127209,1972154964.4,35713,601806,53.39,8,2018,1333.8744146273282,0.008187741451882724,Slight positive
